DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
05/09/2019 07:15,1291,1613,All Island
05/09/2019 07:30,1292,1575,All Island
05/09/2019 07:45,1293,1585,All Island
05/09/2019 08:00,1276,1564,All Island
05/09/2019 08:15,1246,1517,All Island
05/09/2019 08:30,1216,1527,All Island
05/09/2019 08:45,1186,1617,All Island
05/09/2019 09:00,1171,1637,All Island
05/09/2019 09:15,1173,1663,All Island
05/09/2019 09:30,1174,1690,All Island
05/09/2019 09:45,1176,1714,All Island
05/09/2019 10:00,1200,1655,All Island
05/09/2019 10:15,1248,1726,All Island
05/09/2019 10:30,1296,1808,All Island
05/09/2019 10:45,1344,1832,All Island
05/09/2019 11:00,1374,1898,All Island
05/09/2019 11:15,1387,2023,All Island
05/09/2019 11:30,1400,2042,All Island
05/09/2019 11:45,1413,1927,All Island
05/09/2019 12:00,1440,1920,All Island
05/09/2019 12:15,1481,1928,All Island
05/09/2019 12:30,1523,1908,All Island
05/09/2019 12:45,1564,1932,All Island
05/09/2019 13:00,1597,1929,All Island
05/09/2019 13:15,1655,1916,All Island
05/09/2019 13:30,1714,1813,All Island
05/09/2019 13:45,1773,1842,All Island
05/09/2019 14:00,1820,1912,All Island
05/09/2019 14:15,1856,1971,All Island
05/09/2019 14:30,1892,1996,All Island
05/09/2019 14:45,1929,1976,All Island
05/09/2019 15:00,1955,2056,All Island
05/09/2019 15:15,1971,2100,All Island
05/09/2019 15:30,1987,2085,All Island
05/09/2019 15:45,2003,2195,All Island
05/09/2019 16:00,2033,2214,All Island
05/09/2019 16:15,2075,2344,All Island
05/09/2019 16:30,2118,2337,All Island
05/09/2019 16:45,2161,2381,All Island
05/09/2019 17:00,2186,2376,All Island
05/09/2019 17:15,2182,2350,All Island
05/09/2019 17:30,2178,2376,All Island
05/09/2019 17:45,2173,2362,All Island
05/09/2019 18:00,2185,2240,All Island
05/09/2019 18:15,2180,2251,All Island
05/09/2019 18:30,2175,2317,All Island
05/09/2019 18:45,2170,2373,All Island
05/09/2019 19:00,2082,2374,All Island
05/09/2019 19:15,2091,2409,All Island
05/09/2019 19:30,2099,2339,All Island
05/09/2019 19:45,2108,2328,All Island
05/09/2019 20:00,2130,2366,All Island
05/09/2019 20:15,2163,2471,All Island
05/09/2019 20:30,2197,2431,All Island
05/09/2019 20:45,2231,2501,All Island
05/09/2019 21:00,2271,2446,All Island
05/09/2019 21:15,2316,2511,All Island
05/09/2019 21:30,2362,2456,All Island
05/09/2019 21:45,2408,2559,All Island
05/09/2019 22:00,2467,2568,All Island
05/09/2019 22:15,2539,2661,All Island
05/09/2019 22:30,2611,2718,All Island
05/09/2019 22:45,2683,2630,All Island
05/09/2019 23:00,2742,2640,All Island
05/09/2019 23:15,2786,2613,All Island
05/09/2019 23:30,2830,2495,All Island
05/09/2019 23:45,2874,2340,All Island
06/09/2019 00:00,2905,2315,All Island
06/09/2019 00:15,2924,2276,All Island
06/09/2019 00:30,2943,2235,All Island
06/09/2019 00:45,2961,2217,All Island
06/09/2019 01:00,2928,2210,All Island
06/09/2019 01:15,2945,2245,All Island
06/09/2019 01:30,2962,2175,All Island
06/09/2019 01:45,2978,2162,All Island
06/09/2019 02:00,2993,2152,All Island
06/09/2019 02:15,3006,2158,All Island
06/09/2019 02:30,3018,2165,All Island
06/09/2019 02:45,3031,2150,All Island
06/09/2019 03:00,3027,2134,All Island
06/09/2019 03:15,3007,2166,All Island
06/09/2019 03:30,2987,2154,All Island
06/09/2019 03:45,2966,2158,All Island
06/09/2019 04:00,2949,2145,All Island
06/09/2019 04:15,2934,2152,All Island
06/09/2019 04:30,2919,2130,All Island
06/09/2019 04:45,2904,2125,All Island
06/09/2019 05:00,2881,2148,All Island
06/09/2019 05:15,2851,2188,All Island
06/09/2019 05:30,2821,2204,All Island
06/09/2019 05:45,2791,2198,All Island
06/09/2019 06:00,2763,2189,All Island
06/09/2019 06:15,2738,2163,All Island
06/09/2019 06:30,2713,2102,All Island
06/09/2019 06:45,2688,2214,All Island
06/09/2019 07:00,2571,2230,All Island
06/09/2019 07:15,2510,2201,All Island
06/09/2019 07:30,2449,2274,All Island
06/09/2019 07:45,2389,2290,All Island
06/09/2019 08:00,2351,2319,All Island
06/09/2019 08:15,2336,2328,All Island
06/09/2019 08:30,2321,2303,All Island
06/09/2019 08:45,2306,2253,All Island
06/09/2019 09:00,2298,2260,All Island
06/09/2019 09:15,2297,2252,All Island
06/09/2019 09:30,2295,2250,All Island
06/09/2019 09:45,2294,2194,All Island
06/09/2019 10:00,2302,2201,All Island
06/09/2019 10:15,2320,2342,All Island
06/09/2019 10:30,2337,2407,All Island
06/09/2019 10:45,2354,2448,All Island
06/09/2019 11:00,2353,2491,All Island
06/09/2019 11:15,2333,2559,All Island
06/09/2019 11:30,2313,2568,All Island
06/09/2019 11:45,2292,2554,All Island
06/09/2019 12:00,2275,2460,All Island
06/09/2019 12:15,2261,2547,All Island
06/09/2019 12:30,2246,2516,All Island
06/09/2019 12:45,2232,2561,All Island
06/09/2019 13:00,2203,2563,All Island
06/09/2019 13:15,2203,2456,All Island
06/09/2019 13:30,2204,2324,All Island
06/09/2019 13:45,2205,2384,All Island
06/09/2019 14:00,2187,2359,All Island
06/09/2019 14:15,2152,2316,All Island
06/09/2019 14:30,2118,2308,All Island
06/09/2019 14:45,2083,2258,All Island
06/09/2019 15:00,2037,2204,All Island
06/09/2019 15:15,1979,2195,All Island
06/09/2019 15:30,1922,2233,All Island
06/09/2019 15:45,1865,2154,All Island
06/09/2019 16:00,1824,2053,All Island
06/09/2019 16:15,1801,2034,All Island
06/09/2019 16:30,1779,2056,All Island
06/09/2019 16:45,1756,2007,All Island
06/09/2019 17:00,1727,2023,All Island
06/09/2019 17:15,1693,2004,All Island
06/09/2019 17:30,1658,1859,All Island
06/09/2019 17:45,1624,1862,All Island
06/09/2019 18:00,1591,1806,All Island
06/09/2019 18:15,1559,1650,All Island
06/09/2019 18:30,1527,1585,All Island
06/09/2019 18:45,1495,1583,All Island
06/09/2019 19:00,1441,1516,All Island
06/09/2019 19:15,1395,1521,All Island
06/09/2019 19:30,1349,1402,All Island
06/09/2019 19:45,1302,1365,All Island
06/09/2019 20:00,1265,1302,All Island
06/09/2019 20:15,1236,1294,All Island
06/09/2019 20:30,1207,1213,All Island
